libgcc-5-dev-armhf-cross	5.4.0-6ubuntu1~16.04.1cross1
libgcc1:amd64	1:6.0.1-0ubuntu1
libgcc1:i386	1:6.0.1-0ubuntu1
libgcc1-armhf-cross	1:5.4.0-6ubuntu1~16.04.1cross1
libgcc1-dbg:amd64	1:6.0.1-0ubuntu1
libgconf-2-4:i386	3.2.6-3ubuntu6
libgconf2-dev	3.2.6-3ubuntu6
libgconf2-doc	3.2.6-3ubuntu6
libgcrypt20:amd64	1.6.5-2ubuntu0.2
libgcrypt20:i386	1.6.5-2ubuntu0.2
libgdk-pixbuf2.0-0:i386	2.32.2-1ubuntu1.2
libgdk-pixbuf2.0-dev	2.32.2-1ubuntu1.2
libgfortran3:amd64	5.4.0-6ubuntu1~16.04.2
libgl1-mesa-dev:amd64	11.2.0-1ubuntu2.2
libgles2-mesa:amd64	11.2.0-1ubuntu2.2
libgles2-mesa-dev:amd64	11.2.0-1ubuntu2.2
libglib2.0-0-dbg:amd64	2.48.1-1~ubuntu16.04.1
libglib2.0-dev	2.48.1-1~ubuntu16.04.1
libglu1-mesa-dev:amd64	9.0.0-2.1
libgmp10:amd64	2:6.1.0+dfsg-2
libgmp10:i386	2:6.1.0+dfsg-2
libgnome-keyring-dev	3.12.0-1build1
libgnutls-openssl27:amd64	3.4.10-4ubuntu1.1
libgnutls30:amd64	3.4.10-4ubuntu1.1
libgnutls30:i386	3.4.10-4ubuntu1.1
libgomp1-armhf-cross	5.4.0-6ubuntu1~16.04.1cross1
libgpg-error0:amd64	1.21-2ubuntu1
libgpg-error0:i386	1.21-2ubuntu1
libgpm2:i386	1.20.4-6.1
libgraphite2-3:i386	1.3.6-1ubuntu1
libgssrpc4:amd64	1.13.2+dfsg-5
libgtk2.0-0:i386	2.24.30-1ubuntu1
libgtk2.0-0-dbg	2.24.30-1ubuntu1
libgtk2.0-dev	2.24.30-1ubuntu1
libgtkglext1:amd64	1.2.0-3.2fakesync1ubuntu1
libharfbuzz-dev	1.0.1-1ubuntu0.1
libharfbuzz-gobject0:amd64	1.0.1-1ubuntu0.1
libharfbuzz0b:i386	1.0.1-1ubuntu0.1
libhogweed4:amd64	3.2-1
libhogweed4:i386	3.2-1
libice-dev:amd64	2:1.0.9-1
libicu-dev:amd64	55.1-7
libid3tag0	0.15.1b-11
libidn11:amd64	1.32-3ubuntu1.1
libidn11:i386	1.32-3ubuntu1.1
libimlib2:amd64	1.4.7-1ubuntu0.1
libisc-export160	1:9.10.3.dfsg.P4-8ubuntu1
libjpeg-dev:amd64	8c-2ubuntu8
libjpeg-turbo8-dev:amd64	1.4.2-0ubuntu3
libjpeg8-dev:amd64	8c-2ubuntu8
libjs-jquery	1.11.3+dfsg-4
libjs-sphinxdoc	1.3.6-2ubuntu1
libjs-underscore	1.7.0~dfsg-1ubuntu1
libjson-c2:amd64	0.11-4ubuntu2
libjson-c2:i386	0.11-4ubuntu2
libkadm5clnt-mit9:amd64	1.13.2+dfsg-5
libkadm5srv-mit9:amd64	1.13.2+dfsg-5
libkdb5-8:amd64	1.13.2+dfsg-5
libklibc	2.0.4-8ubuntu1.16.04.1
libkmod2:amd64	22-1ubuntu4
libkrb5-dev	1.13.2+dfsg-5
liblapack3	3.6.0-2ubuntu2
liblocale-gettext-perl	1.07-1build1
libltdl-dev:amd64	2.4.6-0.1
liblz4-1:amd64	0.0~r131-2ubuntu2
liblzma5:amd64	5.1.1alpha+20120614-2ubuntu2
liblzma5:i386	5.1.1alpha+20120614-2ubuntu2
liblzo2-2:amd64	2.08-1.2
libmagic1:amd64	1:5.25-2ubuntu1
libmail-sendmail-perl	0.79.16-1
libmirclient-dev:amd64	0.21.0+16.04.20160330-0ubuntu1
libmircommon-dev:amd64	0.21.0+16.04.20160330-0ubuntu1
libmircookie-dev:amd64	0.21.0+16.04.20160330-0ubuntu1
libmircookie2:amd64	0.21.0+16.04.20160330-0ubuntu1
libmnl0:amd64	1.0.3-5
libmount1:amd64	2.27.1-6ubuntu3.1
libmpdec2:amd64	2.4.2-1
libmspack0:amd64	0.5-1
libncurses5:amd64	6.0+20160213-1ubuntu1
libncurses5:i386	6.0+20160213-1ubuntu1
libncurses5-dev:amd64	6.0+20160213-1ubuntu1
libncursesw5:amd64	6.0+20160213-1ubuntu1
libnettle6:amd64	3.2-1
libnettle6:i386	3.2-1
libnewt0.52:amd64	0.52.18-1ubuntu2
libnih1:amd64	1.0.3-4.3ubuntu1
libnspr4:i386	2:4.12-0ubuntu0.16.04.1
libnspr4-dbg:amd64	2:4.12-0ubuntu0.16.04.1
libnspr4-dev	2:4.12-0ubuntu0.16.04.1
libnss3:i386	2:3.23-0ubuntu0.16.04.1
libnss3-dbg:amd64	2:3.23-0ubuntu0.16.04.1
libnss3-dev:amd64	2:3.23-0ubuntu0.16.04.1
libobrender32	3.6.1-1ubuntu2
libobt2	3.6.1-1ubuntu2
libopencv-calib3d2.4v5:amd64	2.4.9.1+dfsg-1.5ubuntu1
libopencv-contrib2.4v5:amd64	2.4.9.1+dfsg-1.5ubuntu1
libopencv-features2d2.4v5:amd64	2.4.9.1+dfsg-1.5ubuntu1
libopencv-flann2.4v5:amd64	2.4.9.1+dfsg-1.5ubuntu1
libopencv-highgui2.4v5:amd64	2.4.9.1+dfsg-1.5ubuntu1
libopencv-legacy2.4v5:amd64	2.4.9.1+dfsg-1.5ubuntu1
libopencv-ml2.4v5:amd64	2.4.9.1+dfsg-1.5ubuntu1
libopencv-objdetect2.4v5:amd64	2.4.9.1+dfsg-1.5ubuntu1
libopencv-photo2.4v5:amd64	2.4.9.1+dfsg-1.5ubuntu1
libopencv-video2.4v5:amd64	2.4.9.1+dfsg-1.5ubuntu1
libp11-kit0:amd64	0.23.2-5~ubuntu16.04.1
libp11-kit0:i386	0.23.2-5~ubuntu16.04.1
libpam-modules:amd64	1.1.8-3.2ubuntu2
libpam-modules-bin	1.1.8-3.2ubuntu2
libpam-runtime	1.1.8-3.2ubuntu2
libpam0g:amd64	1.1.8-3.2ubuntu2
libpam0g-dev:amd64	1.1.8-3.2ubuntu2
libpango-1.0-0:i386	1.38.1-1
libpango1.0-0:i386	1.38.1-1
libpango1.0-0-dbg	1.38.1-1
libpango1.0-dev	1.38.1-1
libpangocairo-1.0-0:i386	1.38.1-1
libpangoft2-1.0-0:i386	1.38.1-1
libpangox-1.0-0:i386	0.0.2-5
libpangoxft-1.0-0:i386	1.38.1-1
libpci-dev	1:3.3.1-1.1ubuntu1
libpcre3:amd64	2:8.38-3.1
libpcre3:i386	2:8.38-3.1
libpcre3-dbg:amd64	2:8.38-3.1
libpcre3-dev:amd64	2:8.38-3.1
libpcre32-3:amd64	2:8.38-3.1
libpcrecpp0v5:amd64	2:8.38-3.1
libpixman-1-0:i386	0.33.6-1
libpixman-1-0-dbg:amd64	0.33.6-1
libpixman-1-dev	0.33.6-1
libpng12-0:amd64	1.2.54-1ubuntu1
libpng12-0:i386	1.2.54-1ubuntu1
libpng12-dev:amd64	1.2.54-1ubuntu1
libpopt0:amd64	1.16-10
libprocps4:amd64	2:3.3.10-4ubuntu2
libprotobuf-dev:amd64	2.6.1-1.3
libpthread-stubs0-dev:amd64	0.3-4
libpulse-dev:amd64	1:8.0-0ubuntu3
libpython-dev:amd64	2.7.11-1
libpython2.7-dev:amd64	2.7.12-1~16.04
libpython3-stdlib:amd64	3.5.1-3
libpython3.5-minimal:amd64	3.5.2-2~16.01
libpython3.5-stdlib:amd64	3.5.2-2~16.01
libqt4-sql-sqlite:amd64	4:4.8.7+dfsg-5ubuntu2
libreadline6:amd64	6.3-8ubuntu2
libreoffice-help-en-us	1:5.1.4-0ubuntu1
librpm3	4.12.0.1+dfsg1-3build3
librpmbuild3	4.12.0.1+dfsg1-3build3
librpmio3	4.12.0.1+dfsg1-3build3
librpmsign3	4.12.0.1+dfsg1-3build3
libruby2.3:amd64	2.3.1-2~16.04
libsctp-dev	1.0.16+dfsg-3
libsctp1:amd64	1.0.16+dfsg-3
